n_qubits,avg_fidelity,std_fidelity,avg_runtime
2,0.9978278616901136,0.0030718315025924942,0.09571139017740886
3,0.9975540149754257,0.0022301125899378306,0.08183511098225911
4,0.989774285943565,0.008956586396346928,0.08444801966349284
5,0.9693623576994234,0.030952031637327116,0.09667507807413737
6,0.9734742596229884,0.00510393320893155,0.10858297348022461
